INDUSTRY,SUBSCRIPTION_FEE,JOB_ACTIVITY_2,JOB_ACTIVITY_3,JOB_ACTIVITY_4,JOB_ACTIVITY_1,JOB_ACTIVITY_5,PAYMENT_TYPE_1,PAYMENT_TYPE_2,PAYMENT_TYPE_3,PAYMENT_TYPE_4,PAYMENT_TYPE_5,COMPANY_SIZE
E,16,20,22,20,22,3,3365.0,0.0,0.0,1485.0,1880.0,C
B,41,0,6,5,1,0,10589.0,2164.0,2164.0,0.0,8425.0,C
C,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,A
F,83,31,57,43,62,35,100237.34,71692.23,71692.23,540.0,28005.11,B
C,16,2,17,12,20,11,14506.5,0.0,0.0,0.0,13507.5,B
C,83,193,204,201,207,59,144662.6,37623.1,0.0,289.0,106750.5,A
B,41,8,16,13,19,11,22240.0,132.0,0.0,0.0,22108.0,B
B,46,0,4,3,5,3,417.5,172.5,0.0,0.0,245.0,C
B,23,0,23,12,16,8,2859.86,608.95,0.0,720.45,1530.46,B
B,75,162,188,206,183,106,184123.82,12407.1,0.0,680.0,130236.88,A
B,41,14,50,12,47,8,1920.73,449.09,0.0,359.2,832.78,B
B,83,40,48,30,43,21,48066.33,1476.0,0.0,500.0,35630.84,A
C,46,21,34,30,39,28,19399.22,7553.51,7553.51,0.0,10345.71,B
A,23,0,2,2,2,0,965.0,0.0,0.0,0.0,600.0,B
B,16,4,14,12,14,12,11499.5,0.0,0.0,150.0,11349.5,C
B,75,180,258,114,265,54,20731.82,4667.03,0.0,2129.93,13506.86,B
A,46,5,6,7,9,4,1014.8,834.8,0.0,0.0,0.0,B
D,105,0,0,170,1,156,11515.71,978.75,0.0,2950.0,5216.76,B
E,46,33,39,40,46,35,7773.49,4120.3,0.0,5.41,3647.78,B
F,46,9,14,14,20,8,23954.1,0.0,0.0,510.0,10343.5,A
F,46,0,37,38,3,0,19276.0,1704.0,1704.0,150.0,17422.0,B
E,6,6,6,5,9,2,546.67,0.0,0.0,92.01,248.98,C
B,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
A,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
E,46,12,23,22,9,21,4942.0,2177.0,2177.0,290.0,2475.0,B
C,46,52,93,11,149,2,13599.28,0.0,0.0,0.0,11626.14,B
B,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
F,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
E,15,7,8,7,8,3,1647.5,1162.5,0.0,100.0,385.0,C
B,33,0,16,17,20,11,32253.75,0.0,0.0,0.0,22930.0,B
A,54,16,18,12,14,12,2723.96,2129.2,0.0,594.76,0.0,A
E,21,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,C
C,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
E,41,0,11,12,7,13,96334.25,2115.0,0.0,0.0,94219.25,A
B,52,38,55,35,57,31,21384.9,1543.87,0.0,0.0,19597.03,B
F,46,32,51,15,58,8,12522.86,7395.99,0.0,600.0,4526.87,B
A,52,0,50,4,0,0,7376.0,2308.0,0.0,0.0,5068.0,B
B,23,0,2,1,3,0,436.0,0.0,0.0,0.0,436.0,C
C,46,74,97,106,90,82,91081.76,14546.98,0.0,2268.2,55266.58,A
F,46,3,7,10,6,8,18501.58,7464.83,0.0,0.0,11036.75,B
E,46,7,12,13,16,0,6254.0,1301.0,1301.0,125.0,4728.0,C
B,33,35,48,52,47,35,31557.78,4843.76,0.0,2656.99,8900.92,B
F,46,8,30,12,101,1,8461.59,461.86,0.0,349.79,2617.4,B
F,94,42,44,93,43,88,71621.2,7213.0,0.0,90.0,64318.2,B
D,116,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,A
C,46,0,4,1,2,0,711.0,711.0,711.0,0.0,0.0,B
C,46,1,18,22,22,7,11230.0,730.0,0.0,50.0,10450.0,B
B,52,63,87,63,94,55,13957.0,4747.0,4747.0,322.0,8888.0,B
A,46,75,108,102,400,0,13381.45,0.0,0.0,0.0,2254.0,A
C,90,305,302,269,328,250,156312.95,49.0,0.0,4314.77,9296.86,A
B,46,0,43,4,49,2,364.0,289.0,289.0,75.0,0.0,B
A,16,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,C
B,52,28,26,23,27,20,12214.5,2446.5,0.0,175.0,8323.0,B
E,26,0,6,2,45,0,343.2,343.2,343.2,0.0,0.0,B
B,83,6,21,23,28,4,109033.0,0.0,0.0,6235.0,72478.0,A
B,52,56,104,86,106,85,49172.0,0.0,0.0,188.0,2244.0,A
C,90,247,259,212,273,202,157073.15,110042.95,114642.0,3512.5,40706.7,A
B,198,0,35,16,0,8,58105.82,8472.54,0.0,0.0,49633.28,B
B,82,37,44,60,43,34,52864.94,8503.74,2035.0,1785.0,30199.8,A
D,16,0,20,0,0,0,0.0,0.0,0.0,0.0,0.0,C
B,99,1,1,0,1,0,0.0,0.0,0.0,0.0,0.0,B
A,154,8,20,16,17,8,9967.21,1632.9,0.0,180.0,8154.31,A
D,52,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
D,16,2,16,17,104,5,1848.18,30.0,0.0,110.0,1461.84,C
C,46,3,123,77,133,71,50099.5,39789.5,0.0,340.0,9520.0,B
E,28,31,35,35,38,32,7194.17,3862.66,0.0,1678.41,1653.1,C
C,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
B,46,0,24,21,23,12,41312.5,4735.5,0.0,0.0,34077.0,B
C,40,5,38,19,32,16,34470.99,20233.4,0.0,55.0,14182.59,A
E,55,78,86,80,84,16,17664.8,8392.68,1196.8,4570.74,4701.38,A
B,52,3,11,2,9,6,790.0,0.0,0.0,0.0,790.0,B
E,13,21,31,28,30,10,7650.7,3878.7,0.0,250.0,3522.0,C
B,90,56,70,61,90,50,66590.57,17283.83,17465.83,2859.0,28091.92,A
C,30,2,10,6,9,2,5236.09,0.0,0.0,0.0,5236.09,C
B,41,0,28,18,33,1,32388.62,2658.21,0.0,0.0,29730.41,B
C,33,63,91,68,100,64,44217.0,19960.0,0.0,900.0,23357.0,B
C,46,31,38,31,46,28,26768.34,16287.34,0.0,5355.0,5126.0,B
C,46,69,74,61,79,15,21434.0,4015.0,0.0,3633.0,13786.0,A
F,83,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,A
C,46,0,309,173,12,105,135010.35,13642.5,0.0,945.0,108422.85,B
C,23,0,14,6,0,0,4026.0,2001.0,0.0,0.0,1700.0,C
A,28,0,12,16,10,0,2390.41,2141.97,0.0,139.96,108.48,C
E,23,23,28,19,28,1,3474.7,1524.8,0.0,0.0,1949.9,C
C,46,56,95,62,104,60,11235.0,0.0,0.0,240.0,6585.0,B
B,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
C,46,14,43,34,25,15,27471.88,0.0,0.0,0.0,7404.22,B
B,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
B,41,5,21,14,16,5,15911.65,529.25,0.0,0.0,13876.7,B
A,26,4,6,32,9,12,8298.08,304.8,304.8,0.0,7993.28,A
B,41,0,26,24,30,18,15600.56,13631.8,0.0,213.0,1604.0,B
B,92,37,38,43,37,39,30033.99,2460.9,0.0,404.74,23668.35,B
C,66,24,42,29,47,27,31598.45,5690.32,0.0,0.0,25908.13,A
F,83,0,151,0,168,0,0.0,0.0,0.0,0.0,0.0,A
C,83,162,261,190,267,149,139897.33,22595.11,0.0,5069.2,108217.52,A
C,16,11,36,26,34,23,16180.5,7196.0,0.0,0.0,8984.5,C
E,20,10,22,37,69,3,5440.45,3842.2,3842.2,1019.25,470.0,B
B,46,5,6,3,11,0,1403.36,0.0,0.0,0.0,945.85,B
B,16,0,5,5,0,0,13263.26,0.0,0.0,0.0,13263.26,C
F,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
A,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
B,49,43,48,18,44,15,13323.33,10875.8,0.0,0.0,2447.53,B
B,52,24,83,39,89,8,44789.0,1474.05,0.0,0.0,38161.95,B
C,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
E,21,11,11,11,10,7,2565.5,1119.5,0.0,0.0,1446.0,C
B,46,0,79,51,109,0,47725.1,0.0,0.0,1827.0,25832.1,B
B,6,0,1,4,0,0,1017.5,0.0,0.0,0.0,1017.5,C
E,41,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
B,80,36,70,6,74,4,7925.0,2785.0,0.0,85.0,5055.0,B
A,52,12,22,0,11,0,0.0,0.0,0.0,0.0,0.0,A
E,15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
F,16,1,8,8,4,0,7631.1,455.0,0.0,0.0,895.0,C
C,23,1,19,19,17,0,41366.18,4052.05,2533.22,0.0,19144.88,B
C,16,0,6,3,0,2,14150.0,0.0,0.0,0.0,14150.0,C
E,23,0,0,1,1,0,291.5,291.5,0.0,0.0,0.0,C
E,46,94,84,64,113,38,37644.83,3086.6,0.0,13337.99,7446.77,A
F,83,21,44,27,45,0,14711.7,0.0,0.0,0.0,0.0,A
F,52,4,12,9,9,4,6145.46,826.8,0.0,2771.9,2546.76,B
C,66,0,0,0,1910,0,0.0,0.0,0.0,0.0,0.0,B
E,28,24,1,1,29,0,182.0,0.0,0.0,0.0,0.0,C
E,42,1,11,9,16,7,2950.15,783.42,0.0,0.0,2166.73,B
A,46,36,38,34,14,19,5279.75,0.0,0.0,0.0,5279.75,B
F,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
E,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
C,75,0,66,42,73,41,30717.7,18559.44,0.0,146.07,12012.19,B
E,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
A,46,0,0,0,34,0,0.0,0.0,0.0,0.0,0.0,B
E,23,33,38,35,41,21,8764.17,0.0,0.0,458.33,6963.36,C
A,46,3,114,0,78,0,0.0,0.0,0.0,0.0,0.0,A
B,23,0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,C
B,52,1,5,6,6,7,5414.99,189.99,189.99,0.0,5225.0,B
B,21,18,31,22,33,16,2515.0,0.0,0.0,235.0,2180.0,C
C,46,40,102,9,151,2,1934.09,802.77,0.0,0.0,1131.32,B
E,23,7,26,29,24,9,13580.2,0.0,0.0,150.0,6554.15,C
B,24,23,28,18,27,13,13677.7,2712.0,0.0,0.0,10965.7,B
A,46,0,40,39,0,16,14432.5,3940.5,2047.5,0.0,8747.0,B
A,138,49,53,52,43,42,18943.2,12047.58,0.0,88.48,6807.14,B
A,46,79,85,79,225,33,6480.0,460.0,272.4,1115.0,4185.0,A
E,41,0,47,39,0,0,13791.5,0.0,0.0,0.0,9140.56,B
C,46,2,86,51,85,44,61077.17,4229.71,0.0,230.0,49308.0,B
B,46,17,123,54,128,40,71730.0,0.0,0.0,510.0,68420.0,B
B,52,5,4,0,7,0,687.0,0.0,0.0,687.0,0.0,C
A,46,3,10,9,16,5,961.94,77.93,0.0,419.55,464.46,B
C,23,3,10,10,11,6,11040.0,6015.0,0.0,0.0,5025.0,C
B,48,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
C,75,66,285,288,136,238,189824.11,86298.01,0.0,4693.0,88554.1,A
E,46,47,62,50,62,42,9331.96,2829.89,0.0,0.0,6502.07,B
F,46,23,29,28,28,23,49188.94,7978.32,0.0,0.0,41210.62,B
D,16,0,0,4,0,1,260.0,0.0,0.0,85.0,175.0,C
C,20,110,116,114,130,114,43712.25,19320.08,0.0,0.0,24392.17,B
E,47,7,14,17,10,2,10632.5,1463.5,1463.5,180.0,8989.0,B
B,46,33,112,0,131,0,0.0,0.0,0.0,0.0,0.0,B
E,16,6,7,8,19,3,1371.61,985.69,805.86,142.36,243.56,C
E,30,1,92,82,98,68,17476.56,0.0,0.0,560.0,8853.05,B
B,79,29,30,25,52,19,53749.74,15929.17,0.0,187.25,27368.32,B
C,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
C,46,0,0,1,0,0,1550.0,1550.0,0.0,0.0,0.0,C
A,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,A
A,53,0,21,41,15,32,23339.22,6985.22,6985.22,420.0,15934.0,B
E,15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
D,83,1,102,119,97,0,77951.1,0.0,0.0,0.0,0.0,A
E,41,42,53,50,41,38,11147.8,0.0,0.0,444.75,5697.0,B
B,23,2,12,11,14,0,39625.0,0.0,0.0,0.0,39625.0,C
A,46,58,125,0,87,0,0.0,0.0,0.0,0.0,0.0,A
